fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,Id
7.3,0.65,0,1.2,0.065,21,0.9946,3.39,0.47,10,7
7.8,0.58,0.02,2,0.073,18,0.9968,3.36,0.57,9.5,8
6.7,0.58,0.08,1.8,0.097,65,0.9959,3.28,0.54,9.2,10
5.6,0.615,0,1.6,0.089,59,0.9943,3.58,0.52,9.9,12
7.8,0.61,0.29,1.6,0.114,29,0.9974,3.26,1.56,9.1,13
8.5,0.28,0.56,1.8,0.092,103,0.9969,3.3,0.75,10.5,16
7.9,0.32,0.51,1.8,0.341,56,0.9969,3.04,1.08,9.2,19
7.6,0.39,0.31,2.3,0.082,71,0.9982,3.52,0.65,9.7,21
7.9,0.43,0.21,1.6,0.106,37,0.9966,3.17,0.91,9.5,22
8.5,0.49,0.11,2.3,0.084,67,0.9968,3.17,0.53,9.4,23
6.9,0.4,0.14,2.4,0.085,40,0.9968,3.43,0.63,9.7,24
6.3,0.39,0.16,1.4,0.08,23,0.9955,3.34,0.56,9.3,25
8.1,0.38,0.28,2.1,0.066,30,0.9968,3.23,0.73,9.7,37
7.3,0.45,0.36,5.9,0.074,87,0.9978,3.33,0.83,10.5,40
8.8,0.61,0.3,2.8,0.088,46,0.9976,3.26,0.51,9.3,41
7.5,0.49,0.2,2.6,0.332,14,0.9968,3.21,0.9,10.5,42
8.1,0.66,0.22,2.2,0.069,23,0.9968,3.3,1.2,10.3,43
4.6,0.52,0.15,2.1,0.054,65,0.9934,3.9,0.56,13.1,45
7.7,0.935,0.43,2.2,0.114,114,0.997,3.25,0.73,9.2,46
8.8,0.66,0.26,1.7,0.074,23,0.9971,3.15,0.74,9.2,50
6.6,0.52,0.04,2.2,0.069,15,0.9956,3.4,0.63,9.4,51
6.6,0.5,0.04,2.1,0.068,14,0.9955,3.39,0.64,9.4,52
8.6,0.38,0.36,3,0.081,119,0.997,3.2,0.56,9.4,53
7.6,0.51,0.15,2.8,0.11,73,0.9955,3.17,0.63,10.2,54
10.2,0.42,0.57,3.4,0.07,10,0.9971,3.04,0.63,9.6,56
7.8,0.59,0.18,2.3,0.076,54,0.9975,3.43,0.59,10,58
7.3,0.39,0.31,2.4,0.074,46,0.9962,3.41,0.54,9.4,59
8.8,0.4,0.4,2.2,0.079,52,0.998,3.44,0.64,9.2,60
7.7,0.69,0.49,1.8,0.115,112,0.9968,3.21,0.71,9.3,61
7,0.735,0.05,2,0.081,54,0.9966,3.39,0.57,9.8,63
7.2,0.725,0.05,4.65,0.086,11,0.9962,3.41,0.39,10.9,64
8.3,0.625,0.2,1.5,0.08,119,0.9972,3.16,1.12,9.1,79
6.2,0.45,0.2,1.6,0.069,15,0.9958,3.41,0.56,9.2,80
5,1.02,0.04,1.4,0.045,85,0.9938,3.75,0.48,10.5,94
6.8,0.775,0,3,0.102,23,0.9965,3.45,0.56,10.7,96
7.6,0.9,0.06,2.5,0.079,10,0.9967,3.39,0.56,9.8,98
8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,99
8.3,0.61,0.3,2.1,0.084,50,0.9972,3.4,0.61,10.2,100
8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,102
8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,103
7.2,0.49,0.24,2.2,0.07,36,0.996,3.33,0.48,9.4,104
8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,105
7.8,0.41,0.68,1.7,0.467,69,0.9973,3.08,1.31,9.3,106
6.2,0.63,0.31,1.7,0.088,64,0.9969,3.46,0.79,9.3,107
7.8,0.56,0.19,1.8,0.104,47,0.9964,3.19,0.93,9.5,110
8.4,0.62,0.09,2.2,0.084,108,0.9964,3.15,0.66,9.8,111
10.1,0.31,0.44,2.3,0.08,46,0.9988,3.32,0.67,9.7,113
7.8,0.56,0.19,1.8,0.104,47,0.9964,3.19,0.93,9.5,114
9.4,0.4,0.31,2.2,0.09,62,0.9966,3.07,0.63,10.5,115
8.3,0.54,0.28,1.9,0.077,40,0.9978,3.39,0.61,10,116
7.3,1.07,0.09,1.7,0.178,89,0.9962,3.3,0.57,9,120
8.8,0.55,0.04,2.2,0.119,56,0.9962,3.21,0.6,10.9,121
7.3,0.695,0,2.5,0.075,13,0.998,3.49,0.52,9.2,122
7.8,0.5,0.17,1.6,0.082,102,0.996,3.39,0.48,9.5,124
8.2,1.33,0,1.7,0.081,12,0.9964,3.53,0.49,10.9,126
8.1,1.33,0,1.8,0.082,12,0.9964,3.54,0.48,10.9,127
8,0.59,0.16,1.8,0.065,16,0.9962,3.42,0.92,10.5,128
8,0.745,0.56,2,0.118,134,0.9968,3.24,0.66,9.4,130
5.6,0.5,0.09,2.3,0.049,99,0.9937,3.63,0.63,13,131
7.9,1.04,0.05,2.2,0.084,29,0.9959,3.22,0.55,9.9,134
8.4,0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,135
7.2,0.415,0.36,2,0.081,45,0.9972,3.48,0.64,9.2,137
8.4,0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,140
5.2,0.34,0,1.8,0.05,63,0.9916,3.68,0.79,14,142
6.3,0.39,0.08,1.7,0.066,20,0.9954,3.34,0.58,9.4,143
5.2,0.34,0,1.8,0.05,63,0.9916,3.68,0.79,14,144
8.1,0.67,0.55,1.8,0.117,141,0.9968,3.17,0.62,9.4,145
5.8,0.68,0.02,1.8,0.087,94,0.9944,3.54,0.52,10,146
6.9,0.49,0.1,2.3,0.074,30,0.9959,3.42,0.58,10.2,148
7.3,0.33,0.47,2.1,0.077,11,0.9958,3.33,0.53,10.3,150
9.2,0.52,1,3.4,0.61,69,0.9996,2.74,2,9.4,151
7.5,0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,152
7.5,0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,153
7.1,0.43,0.42,5.5,0.071,128,0.9973,3.42,0.71,10.5,155
7.1,0.43,0.42,5.5,0.07,129,0.9973,3.42,0.72,10.5,156
7.1,0.43,0.42,5.5,0.071,128,0.9973,3.42,0.71,10.5,157
7.1,0.68,0,2.2,0.073,22,0.9969,3.48,0.5,9.3,158
6.8,0.6,0.18,1.9,0.079,86,0.9968,3.59,0.57,9.3,159
7.6,0.95,0.03,2,0.09,20,0.9959,3.2,0.56,9.6,160
7.6,0.68,0.02,1.3,0.072,20,0.9965,3.17,1.08,9.2,161
7.8,0.53,0.04,1.7,0.076,31,0.9964,3.33,0.56,10,162
7.4,0.6,0.26,7.3,0.07,121,0.9982,3.37,0.49,9.4,163
7.3,0.59,0.26,7.2,0.07,121,0.9981,3.37,0.49,9.4,164
7.8,0.63,0.48,1.7,0.1,96,0.9961,3.19,0.62,9.5,165
6.8,0.64,0.1,2.1,0.085,101,0.9956,3.34,0.52,10.2,166
7.3,0.55,0.03,1.6,0.072,42,0.9956,3.37,0.48,9,167
6.8,0.63,0.07,2.1,0.089,44,0.9953,3.47,0.55,10.4,168
7.9,0.885,0.03,1.8,0.058,8,0.9972,3.36,0.33,9.1,170
8,0.42,0.17,2,0.073,18,0.9972,3.29,0.61,9.2,172
7.4,0.62,0.05,1.9,0.068,42,0.9961,3.42,0.57,11.5,173
6.9,0.5,0.04,1.5,0.085,49,0.9958,3.35,0.78,9.5,175
7.3,0.38,0.21,2,0.08,35,0.9961,3.33,0.47,9.5,176
7.5,0.52,0.42,2.3,0.087,38,0.9972,3.58,0.61,10.5,177
7,0.805,0,2.5,0.068,20,0.9969,3.48,0.56,9.6,178
8.8,0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,179
8.8,0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,180
8.9,0.61,0.49,2,0.27,110,0.9972,3.12,1.02,9.3,181
7.2,0.73,0.02,2.5,0.076,42,0.9972,3.44,0.52,9.3,182
6.8,0.61,0.2,1.8,0.077,65,0.9971,3.54,0.58,9.3,183
6.7,0.62,0.21,1.9,0.079,62,0.997,3.52,0.58,9.3,184
8.9,0.31,0.57,2,0.111,85,0.9971,3.26,0.53,9.7,185
7.4,0.39,0.48,2,0.082,67,0.9972,3.34,0.55,9.2,186
7.9,0.5,0.33,2,0.084,143,0.9968,3.2,0.55,9.5,188
8.2,0.5,0.35,2.9,0.077,127,0.9976,3.23,0.62,9.4,190
6.4,0.37,0.25,1.9,0.074,49,0.9974,3.57,0.62,9.8,191
7.6,0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,193
7.6,0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,194
7.3,0.58,0.3,2.4,0.074,55,0.9968,3.46,0.59,10.2,196
11.5,0.3,0.6,2,0.067,27,0.9981,3.11,0.97,10.1,197
6.9,1.09,0.06,2.1,0.061,31,0.9948,3.51,0.43,11.4,199
9.6,0.32,0.47,1.4,0.056,24,0.99695,3.22,0.82,10.3,200
7,0.43,0.36,1.6,0.089,37,0.99615,3.34,0.56,9.2,204
12.8,0.3,0.74,2.6,0.095,28,0.9994,3.2,0.77,10.8,205
12.8,0.3,0.74,2.6,0.095,28,0.9994,3.2,0.77,10.8,206
7.8,0.44,0.28,2.7,0.1,95,0.9966,3.22,0.67,9.4,208
9.7,0.53,0.6,2,0.039,19,0.99585,3.3,0.86,12.4,210
8,0.725,0.24,2.8,0.083,62,0.99685,3.35,0.56,10,211
8.2,0.57,0.26,2.2,0.06,65,0.9959,3.3,0.43,10.1,213
7.8,0.735,0.08,2.4,0.092,41,0.9974,3.24,0.71,9.8,214
7,0.49,0.49,5.6,0.06,121,0.9974,3.34,0.76,10.5,215
8.7,0.625,0.16,2,0.101,49,0.9962,3.14,0.57,11,216
8.1,0.725,0.22,2.2,0.072,41,0.9967,3.36,0.55,9.1,217
7.5,0.49,0.19,1.9,0.076,44,0.9957,3.39,0.54,9.7,218
7.8,0.34,0.37,2,0.082,58,0.9964,3.34,0.59,9.4,220
7.4,0.53,0.26,2,0.101,72,0.9957,3.15,0.57,9.4,221
6.8,0.61,0.04,1.5,0.057,10,0.99525,3.42,0.6,9.5,222
8.6,0.645,0.25,2,0.083,28,0.99815,3.28,0.6,10,223
7.7,0.43,0.25,2.6,0.073,63,0.99615,3.37,0.58,10.5,225
8.9,0.59,0.5,2,0.337,81,0.9964,3.04,1.61,9.5,226
5.2,0.48,0.04,1.6,0.054,106,0.9927,3.54,0.62,12.2,230
8,0.38,0.06,1.8,0.078,49,0.99625,3.37,0.52,9.9,231
8.5,0.37,0.2,2.8,0.09,58,0.998,3.34,0.7,9.6,232
8.2,1,0.09,2.3,0.065,37,0.99685,3.32,0.55,9,234
7.2,0.63,0,1.9,0.097,38,0.99675,3.37,0.58,9,235
8.9,0.635,0.37,1.7,0.263,62,0.9971,3,1.09,9.3,240
12,0.38,0.56,2.1,0.093,24,0.99925,3.14,0.71,10.9,241
7.7,0.58,0.1,1.8,0.102,109,0.99565,3.08,0.49,9.8,242
15,0.21,0.44,2.2,0.075,24,1.00005,3.07,0.84,9.2,243
15,0.21,0.44,2.2,0.075,24,1.00005,3.07,0.84,9.2,244
7.3,0.66,0,2,0.084,23,0.9983,3.61,0.96,9.9,245
7.1,0.68,0.07,1.9,0.075,51,0.99685,3.38,0.52,9.5,246
7.3,0.66,0,2,0.084,23,0.9983,3.61,0.96,9.9,249
10.8,0.32,0.44,1.6,0.063,37,0.9985,3.22,0.78,10,250
7.1,0.6,0,1.8,0.074,34,0.9972,3.47,0.7,9.9,251
11.1,0.35,0.48,3.1,0.09,21,0.9986,3.17,0.53,10.5,252
7.7,0.775,0.42,1.9,0.092,86,0.9959,3.23,0.59,9.5,253
8,0.57,0.23,3.2,0.073,119,0.99675,3.26,0.57,9.3,255
9.4,0.34,0.37,2.2,0.075,13,0.998,3.22,0.62,9.2,256
6.6,0.695,0,2.1,0.075,56,0.9968,3.49,0.67,9.2,257
7.7,0.41,0.76,1.8,0.611,45,0.9968,3.06,1.26,9.4,258
10,0.31,0.47,2.6,0.085,33,0.99965,3.36,0.8,10.5,259
7.9,0.33,0.23,1.7,0.077,45,0.99625,3.29,0.65,9.3,260
7,0.975,0.04,2,0.087,67,0.99565,3.35,0.6,9.4,261
8,0.52,0.03,1.7,0.07,35,0.99575,3.34,0.57,10,262
7.9,0.37,0.23,1.8,0.077,49,0.9963,3.28,0.67,9.3,263
12.5,0.56,0.49,2.4,0.064,27,0.9999,3.08,0.87,10.9,264
8.1,0.87,0,3.3,0.096,61,1.00025,3.6,0.72,9.8,266
7.9,0.35,0.46,3.6,0.078,37,0.9973,3.35,0.86,12.8,267
6.9,0.54,0.04,3,0.077,27,0.9987,3.69,0.91,9.4,268
11.5,0.18,0.51,4,0.104,23,0.9996,3.28,0.97,10.1,269
7.9,0.545,0.06,4,0.087,61,0.9965,3.36,0.67,10.7,270
7.9,0.545,0.06,4,0.087,61,0.9965,3.36,0.67,10.7,275
6.9,0.54,0.04,3,0.077,27,0.9987,3.69,0.91,9.4,276
11.5,0.18,0.51,4,0.104,23,0.9996,3.28,0.97,10.1,277
10.3,0.32,0.45,6.4,0.073,13,0.9976,3.23,0.82,12.6,278
8.9,0.4,0.32,5.6,0.087,47,0.9991,3.38,0.77,10.5,279
11.4,0.26,0.44,3.6,0.071,19,0.9986,3.12,0.82,9.3,280
7.7,0.27,0.68,3.5,0.358,10,0.9972,3.25,1.08,9.9,281
8.9,0.4,0.32,5.6,0.087,47,0.9991,3.38,0.77,10.5,283
9.9,0.59,0.07,3.4,0.102,71,1.00015,3.31,0.71,9.8,284
9.9,0.59,0.07,3.4,0.102,71,1.00015,3.31,0.71,9.8,285
12,0.45,0.55,2,0.073,49,0.9997,3.1,0.76,10.3,286
7.5,0.4,0.12,3,0.092,53,0.9967,3.37,0.7,10.3,287
8.7,0.52,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,288
11.6,0.42,0.53,3.3,0.105,98,1.001,3.2,0.95,9.2,289
8.7,0.52,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,290
10.4,0.55,0.23,2.7,0.091,48,0.9994,3.22,0.64,10.3,292
6.9,0.36,0.25,2.4,0.098,16,0.9964,3.41,0.6,10.1,293
13.3,0.34,0.52,3.2,0.094,53,1.0014,3.05,0.81,9.5,294
10.8,0.5,0.46,2.5,0.073,27,1.0001,3.05,0.64,9.5,295
10.6,0.83,0.37,2.6,0.086,70,0.9981,3.16,0.52,9.9,296
7.1,0.63,0.06,2,0.083,29,0.99855,3.67,0.73,9.6,297
7.2,0.65,0.02,2.3,0.094,31,0.9993,3.67,0.8,9.7,298
7.5,0.53,0.06,2.6,0.086,44,0.9965,3.38,0.59,10.7,300
11.1,0.18,0.48,1.5,0.068,15,0.9973,3.22,0.64,10.1,301
8.3,0.705,0.12,2.6,0.092,28,0.9994,3.51,0.72,10,302
8.4,0.65,0.6,2.1,0.112,90,0.9973,3.2,0.52,9.2,304
7.6,0.62,0.32,2.2,0.082,54,0.9966,3.36,0.52,9.4,306
10.3,0.41,0.42,2.4,0.213,14,0.9994,3.19,0.62,9.5,307
10.3,0.43,0.44,2.4,0.214,12,0.9994,3.19,0.63,9.5,308
7.9,0.53,0.24,2,0.072,105,0.996,3.27,0.54,9.4,311
9,0.46,0.31,2.8,0.093,98,0.99815,3.32,0.63,9.5,312
8.6,0.47,0.3,3,0.076,135,0.9976,3.3,0.53,9.4,313
7.4,0.36,0.29,2.6,0.087,72,0.99645,3.39,0.68,11,314
9.8,0.66,0.39,3.2,0.083,59,0.9989,3.37,0.71,11.5,318
9.6,0.77,0.12,2.9,0.082,74,0.99865,3.3,0.64,10.4,319
9.3,0.61,0.26,3.4,0.09,87,0.99975,3.24,0.62,9.7,321
10,0.49,0.2,11,0.071,50,1.0015,3.16,0.69,9.2,324
10,0.49,0.2,11,0.071,50,1.0015,3.16,0.69,9.2,325
11.6,0.53,0.66,3.65,0.121,14,0.9978,3.05,0.74,11.5,326
10.3,0.44,0.5,4.5,0.107,13,0.998,3.28,0.83,11.5,327
13.4,0.27,0.62,2.6,0.082,21,1.0002,3.16,0.67,9.7,328
8.4,0.56,0.08,2.1,0.105,44,0.9958,3.13,0.52,11,333
7.9,0.65,0.01,2.5,0.078,38,0.9963,3.34,0.74,11.7,334
11.9,0.695,0.53,3.4,0.128,21,0.9992,3.17,0.84,12.2,335
8.9,0.43,0.45,1.9,0.052,16,0.9948,3.35,0.7,12.5,336
7.8,0.43,0.32,2.8,0.08,58,0.9974,3.31,0.64,10.3,337
12.5,0.28,0.54,2.3,0.082,29,0.9997,3.11,1.36,9.8,339
10.9,0.39,0.47,1.8,0.118,14,0.9982,3.3,0.75,9.8,342
10.9,0.39,0.47,1.8,0.118,14,0.9982,3.3,0.75,9.8,343
11.9,0.57,0.5,2.6,0.082,32,1.0006,3.12,0.78,10.7,344
13.8,0.49,0.67,3,0.093,15,0.9986,3.02,0.93,12,347
9.6,0.56,0.31,2.8,0.089,46,0.9979,3.11,0.92,10,348
9.1,0.795,0,2.6,0.096,26,0.9994,3.35,0.83,9.4,351
7.7,0.665,0,2.4,0.09,19,0.9974,3.27,0.73,9.3,352
13.5,0.53,0.79,4.8,0.12,77,1.0018,3.18,0.77,13,353
6.1,0.21,0.4,1.4,0.066,165,0.9912,3.25,0.59,11.9,354
6.7,0.75,0.01,2.4,0.078,32,0.9955,3.55,0.61,12.8,355
11.5,0.41,0.52,3,0.08,55,1.0001,3.26,0.88,11,356
10.5,0.42,0.66,2.95,0.116,29,0.997,3.24,0.75,11.7,357
11.9,0.43,0.66,3.1,0.109,23,1,3.15,0.85,10.4,358
12.6,0.38,0.66,2.6,0.088,41,1.001,3.17,0.68,9.8,359
8.2,0.7,0.23,2,0.099,81,0.9973,3.19,0.7,9.4,360
8.6,0.45,0.31,2.6,0.086,50,0.9982,3.37,0.91,9.9,361
11.9,0.58,0.66,2.5,0.072,37,0.9992,3.05,0.56,10,362
12.5,0.46,0.63,2,0.071,15,0.9988,2.99,0.87,10.2,363
12.8,0.615,0.66,5.8,0.083,42,1.0022,3.07,0.73,10,364
12.8,0.615,0.66,5.8,0.083,42,1.0022,3.07,0.73,10,366
10.4,0.575,0.61,2.6,0.076,24,1,3.16,0.69,9,367
9.4,0.27,0.53,2.4,0.074,18,0.9962,3.2,1.13,12,369
7.9,0.24,0.4,1.6,0.056,25,0.9967,3.32,0.87,8.7,371
9.1,0.28,0.48,1.8,0.067,46,0.9967,3.32,1.04,10.6,372
11.5,0.45,0.5,3,0.078,47,1.0003,3.26,1.11,11,376
9.4,0.27,0.53,2.4,0.074,18,0.9962,3.2,1.13,12,377
11.4,0.625,0.66,6.2,0.088,24,0.9988,3.11,0.99,13.3,378
8.3,0.26,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,380
7.7,0.51,0.28,2.1,0.087,54,0.998,3.42,0.74,9.2,384
7.8,0.46,0.26,1.9,0.088,53,0.9981,3.43,0.74,9.2,388
5.6,0.85,0.05,1.4,0.045,88,0.9924,3.56,0.82,12.9,390
13.7,0.415,0.68,2.9,0.085,43,1.0014,3.06,0.8,10,391
9.5,0.37,0.52,2,0.082,26,0.998,3.18,0.51,9.5,392
12,0.37,0.76,4.2,0.066,38,1.0004,3.22,0.6,13,395
6.6,0.735,0.02,7.9,0.122,124,0.9994,3.47,0.53,9.9,396
11.5,0.59,0.59,2.6,0.087,49,0.9988,3.18,0.65,11,397
8.7,0.765,0.22,2.3,0.064,42,0.9963,3.1,0.55,9.4,399
6.6,0.735,0.02,7.9,0.122,124,0.9994,3.47,0.53,9.9,400
12.2,0.48,0.54,2.6,0.085,64,1,3.1,0.61,10.5,402
11.4,0.6,0.49,2.7,0.085,41,0.9994,3.15,0.63,10.5,403
7.7,0.69,0.05,2.7,0.075,27,0.9974,3.26,0.61,9.1,404
9.8,0.44,0.47,2.5,0.063,28,0.9981,3.24,0.65,10.8,406
12,0.39,0.66,3,0.093,30,0.9996,3.18,0.63,10.8,407
12.5,0.46,0.49,4.5,0.07,49,0.9981,3.05,0.57,9.6,409
9,0.43,0.34,2.5,0.08,86,0.9987,3.38,0.62,9.5,410
7.1,0.735,0.16,1.9,0.1,77,0.9966,3.27,0.64,9.3,412
9.9,0.4,0.53,6.7,0.097,19,0.9986,3.27,0.82,11.7,413
8.8,0.52,0.34,2.7,0.087,122,0.9982,3.26,0.61,9.5,414
8.6,0.725,0.24,6.6,0.117,134,1.0014,3.32,1.07,9.3,415
10.6,0.48,0.64,2.2,0.111,20,0.997,3.26,0.66,11.7,416
7,0.58,0.12,1.9,0.091,124,0.9956,3.44,0.48,10.5,417
11.9,0.38,0.51,2,0.121,20,0.9996,3.24,0.76,10.4,418
6.8,0.77,0,1.8,0.066,52,0.9976,3.62,0.68,9.9,419
6.6,0.84,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,421
7.7,0.96,0.2,2,0.047,60,0.9955,3.36,0.44,10.9,422
10.5,0.24,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,423
6.6,0.84,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,425
6.4,0.67,0.08,2.1,0.045,48,0.9949,3.49,0.49,11.4,426
9.5,0.78,0.22,1.9,0.077,32,0.9988,3.26,0.56,10.6,427
9.1,0.52,0.33,1.3,0.07,30,0.9978,3.24,0.6,9.3,428
12.8,0.84,0.63,2.4,0.088,35,0.9997,3.1,0.6,10.4,429
10.5,0.24,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,430
7.8,0.55,0.35,2.2,0.074,66,0.9974,3.25,0.56,9.2,431
12.3,0.39,0.63,2.3,0.091,18,1.0004,3.16,0.49,9.5,433
10.4,0.41,0.55,3.2,0.076,54,0.9996,3.15,0.89,9.9,434
